  16 -15 -0.001948009141 -0.002389302469
  16  16 0.0006244243853 0.000302055247
  16 -16 0.002072001451 -0.001759055455
  17   0 0.006190693164 -0.006960449319
  17   1 0.00135869822 0.002679020205
  17  -1 0.003705086671 0.004294067096
  17   2 -0.001508028994 -0.002175037564
  17  -2 -0.004511300734 -0.005279893972
  17   3 -0.005471598239 0.002732186746
  17  -3 -0.00159167588 0.003289143289
  17   4 0.008053279599 -0.0009737842444
  17  -4 -0.007448108658 -0.008581702319
  17   5 0.001913334764 -0.0001400579843
  17  -5 -0.001472503752 0.0005037180819
  17   6 0.003685405631 0.0003232152304
  17  -6 -0.0006149173396 -0.003886241675
  17   7 0.000888134717 -0.002631461575
  17  -7 4.115738402e-05 -0.007378415397
  17   8 0.002366296678 0.0009696983896
  17  -8 0.00438887758 -0.0009969492558
  17   9 -0.002593294953 0.004009175191
  17  -9 0.0007768471144 0.001600306413
  17  10 0.004847861354 0.00233142198
  17 -10 0.0002522799113 -0.004187944248
  17  11 0.002540103937 -0.001522890918
  17 -11 -0.003959653959 0.004502822217
  17  12 0.006707284315 0.003074572904
  17 -12 -0.006563283266 -0.0001370388033
  17  13 0.0005797775571 0.002488551383
  17 -13 -8.579004716e-05 0.004820372211
  17  14 0.005010886047 -0.001165951587
  17 -14 -5.997896041e-05 -0.0001362449178
  17  15 -0.002561994817 0.003894816323
  17 -15 0.0002307146641 0.001544671121
  17  16 0.002099790984 0.002776207204
  17 -16 0.0004075793536 0.001268941721
  17  17 -0.0005132772799 -0.002053690824
  17 -17 -0.001340350043 -0.0007331424432
  18   0 -0.002079734979 0.008564755953
  18   1 0.01124878791 0.004830658678
  18  -1 0.003747756982 0.0044537367
  18   2 -0.006487002463 -0.004856576172
  18  -2 -0.007063387116 0.003561575618
  18   3 -0.001661684848 0.004612045077
  18  -3 0.003183449607 0.007230093073
  18   4 0.003272601412 0.007732163493
  18  -4 -0.005773952513 -0.004514237538
  18   5 -0.002178324659 0.0007706975748
  18  -5 0.000839149984 -0.000629338141
  18   6 -0.001798332459 -0.002848089326
  18  -6 -1.261749283e-05 -0.001617805921
  18   7 0.001708404694 -0.004672295027
  18  -7 -0.001845532717 0.003415407549
  18   8 0.001200277172 0.003768772876
  18  -8 0.00324398135 -0.002848422494
